product_id,title,description,price_usd,image_link,cores,base_clock_ghz,boost_clock_ghz,microarchitecture,tdp_w,igpu,product_url
CPU-001,AMD Ryzen 9 9950X3D,"16 cores, 4.3–5.7 GHz, Zen 5, 170W TDP, iGPU: Radeon",663.95,https://pcpartpicker.com/product/Pk62FT/amd-ryzen-9-9950x3d-43-ghz-16-core-processor-100-100000719wof,16,4.3,5.7,Zen 5,170,Radeon,https://pcpartpicker.com/product/Pk62FT/amd-ryzen-9-9950x3d-43-ghz-16-core-processor-100-100000719wof
CPU-002,AMD Ryzen 9 9950X,"16 cores, 4.3–5.7 GHz, Zen 5, 170W TDP, iGPU: Radeon",543.0,https://pcpartpicker.com/product/T6GhP6/amd-ryzen-9-9950x-43-ghz-16-core-processor-100-100001277wof,16,4.3,5.7,Zen 5,170,Radeon,https://pcpartpicker.com/product/T6GhP6/amd-ryzen-9-9950x-43-ghz-16-core-processor-100-100001277wof
CPU-003,AMD Ryzen 9 9900X3D,"12 cores, 4.4–5.5 GHz, Zen 5, 120W TDP, iGPU: Radeon",587.98,https://pcpartpicker.com/product/d7TFf7/amd-ryzen-9-9900x3d-44-ghz-12-core-processor-100-1000001368wof,12,4.4,5.5,Zen 5,120,Radeon,https://pcpartpicker.com/product/d7TFf7/amd-ryzen-9-9900x3d-44-ghz-12-core-processor-100-1000001368wof
CPU-004,AMD Ryzen 9 9900X,"12 cores, 4.4–5.6 GHz, Zen 5, 120W TDP, iGPU: Radeon",354.86,https://pcpartpicker.com/product/Z6GhP6/amd-ryzen-9-9900x-44-ghz-12-core-processor-100-100000662wof,12,4.4,5.6,Zen 5,120,Radeon,https://pcpartpicker.com/product/Z6GhP6/amd-ryzen-9-9900x-44-ghz-12-core-processor-100-100000662wof
CPU-005,AMD Ryzen 7 9800X3D,"8 cores, 4.7–5.2 GHz, Zen 5, 120W TDP, iGPU: Radeon",469.0,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,8,4.7,5.2,Zen 5,120,Radeon,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof
CPU-006,AMD Ryzen 7 9700X,"8 cores, 3.8–5.5 GHz, Zen 5, 65W TDP, iGPU: Radeon",299.99,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,3.8,5.5,Zen 5,65,Radeon,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof
CPU-007,AMD Ryzen 5 9600X,"6 cores, 3.9–5.4 GHz, Zen 5, 65W TDP, iGPU: Radeon",190.31,https://pcpartpicker.com/product/4r4Zxr/amd-ryzen-5-9600x-39-ghz-6-core-processor-100-100001405wof,6,3.9,5.4,Zen 5,65,Radeon,https://pcpartpicker.com/product/4r4Zxr/amd-ryzen-5-9600x-39-ghz-6-core-processor-100-100001405wof
CPU-008,Intel Core Ultra 9 285K,"24 cores, 3.7–5.7 GHz, Arrow Lake, 125W TDP, iGPU: Intel Xe",539.99,https://pcpartpicker.com/product/VHYRsY/intel-core-ultra-9-285k-37-ghz-24-core-processor-bx80768285k,24,3.7,5.7,Arrow Lake,125,Intel Xe,https://pcpartpicker.com/product/VHYRsY/intel-core-ultra-9-285k-37-ghz-24-core-processor-bx80768285k
CPU-009,Intel Core Ultra 7 265K,"20 cores, 3.9–5.5 GHz, Arrow Lake, 125W TDP, iGPU: Intel Xe",301.04,https://pcpartpicker.com/product/mBsV3C/intel-core-ultra-7-265k-39-ghz-20-core-processor-bx80768265k,20,3.9,5.5,Arrow Lake,125,Intel Xe,https://pcpartpicker.com/product/mBsV3C/intel-core-ultra-7-265k-39-ghz-20-core-processor-bx80768265k
CPU-010,Intel Core Ultra 7 265KF,"20 cores, 3.9–5.5 GHz, Arrow Lake, 125W TDP, iGPU: None",283.4,https://pcpartpicker.com/product/8myH99/intel-core-ultra-7-265kf-39-ghz-20-core-processor-bx80768265kf,20,3.9,5.5,Arrow Lake,125,None,https://pcpartpicker.com/product/8myH99/intel-core-ultra-7-265kf-39-ghz-20-core-processor-bx80768265kf
